+1.084e+02,urban_gf*forest_gf
+5.622e+01,cropland_gf^2
+5.146e+01,cropland_gf*forest_gf
+4.534e+01,forest_gf^2
-3.438e+01,cropland_gf*urban_gf
-1.537e+01,urban_gf^2
-9.928e+00,phh2o_10sec
-9.519e+00,bio_11_30sec*urban_gf
+6.126e+00,AWCh3_10sec
-5.611e+00,bio_02_30sec*forest_gf
-5.002e+00,PHIKCL_10sec
-4.264e+00,bio_10_30sec*urban_gf
+4.188e+00,tri_10sec*urban_gf
+3.901e+00,night_lights_10sec*urban_gf
-3.286e+00,PHIHOX_10sec*forest_gf
+3.053e+00,bio_03_30sec*forest_gf
-2.489e+00,night_lights_5min*urban_gf
-2.452e+00,PHIKCL_10sec*cropland_gf
-2.219e+00,bio_11_30sec*forest_gf
+2.194e+00,wind_speed_10sec*cropland_gf
-2.029e+00,bio_10_30sec*forest_gf
-1.557e+00,night_lights_10sec*forest_gf
-1.296e+00,night_lights_5min*forest_gf
+1.160e+00,bio_07_30sec*cropland_gf
+1.076e+00,bdod_10sec*urban_gf
+1.049e+00,AWCtS_10sec*forest_gf
-1.023e+00,CLYPPT_10sec*cropland_gf
-9.922e-01,PHIHOX_10sec*cropland_gf
+9.915e-01,bio_08_30sec*forest_gf
+9.725e-01,bio_03_30sec*cropland_gf
+9.162e-01,ocs_10sec*urban_gf
+8.808e-01,AWCtS_10sec*cropland_gf
-7.055e-01,phh2o_10sec*forest_gf
-6.977e-01,bio_02_30sec*bio_06_30sec
+6.806e-01,AWCh3_10sec*wind_speed_10sec
-6.747e-01,night_lights_10sec*cropland_gf
-5.898e-01,ocs_10sec*forest_gf
+5.607e-01,AWCh3_10sec*cropland_gf
-5.597e-01,bio_08_30sec*urban_gf
-5.491e-01,bio_14_30sec*cropland_gf
+5.272e-01,AWCh1_10sec*cropland_gf
-5.117e-01,AWCh3_10sec*bio_10_30sec
-4.787e-01,bio_15_30sec*urban_gf
+4.767e-01,ndvcec015_10sec*urban_gf
-4.177e-01,bio_15_30sec*cropland_gf
+3.642e-01,bio_08_30sec*wind_speed_10sec
+3.455e-01,AWCh1_10sec*bio_01_30sec
-3.260e-01,silt_10sec*urban_gf
+3.202e-01,bio_02_30sec*wind_speed_10sec
-3.152e-01,wind_speed_10sec^2
+2.750e-01,bio_07_30sec*bio_09_30sec
+2.738e-01,ocs_10sec*cropland_gf
-2.636e-01,AWCtS_10sec*bio_02_30sec
+2.586e-01,AWCh2_10sec*bio_02_30sec
+2.579e-01,OCSTHA_10sec*urban_gf
-2.535e-01,PHIHOX_10sec*wind_speed_10sec
+2.386e-01,tri_10sec*cropland_gf
-2.246e-01,AWCtS_10sec*wind_speed_10sec
+2.182e-01,bdod_10sec*cropland_gf
+2.017e-01,silt_10sec
+2.008e-01,PHIKCL_10sec*wind_speed_10sec
-1.993e-01,bio_06_30sec*cropland_gf
+1.760e-01,night_lights_10sec*wind_speed_10sec
+1.714e-01,bio_05_30sec*wind_speed_10sec
-1.669e-01,bio_10_30sec*ocs_10sec
-1.556e-01,slope_10sec*forest_gf
+1.547e-01,bio_03_30sec*phh2o_10sec
-1.433e-01,bio_03_30sec*wind_speed_10sec
-1.343e-01,PHIKCL_10sec*urban_gf
-1.316e-01,bio_14_30sec*urban_gf
-1.305e-01,bio_02_30sec*bio_10_30sec
+1.277e-01,bio_05_30sec*PHIKCL_10sec
+1.252e-01,bio_16_30sec*urban_gf
-1.230e-01,AWCh1_10sec*wind_speed_10sec
+1.222e-01,bio_05_30sec*ocs_10sec
+1.106e-01,bdod_10sec*forest_gf
-1.097e-01,AWCtS_10sec*urban_gf
+1.031e-01,bio_04_30sec*forest_gf
-1.024e-01,bio_06_30sec*bio_08_30sec
+1.004e-01,night_lights_5min*wind_speed_10sec
+9.696e-02,bio_13_30sec*cropland_gf
+9.643e-02,bio_02_30sec*bio_15_30sec
+9.616e-02,ocd_10sec*forest_gf
+9.065e-02,ndvcec015_10sec*cropland_gf
-8.815e-02,sand_10sec*urban_gf
+8.800e-02,bio_01_30sec*bio_15_30sec
-8.195e-02,bio_03_30sec*bio_09_30sec
-8.083e-02,wind_speed_10sec*forest_gf
-8.003e-02,bio_03_30sec*PHIKCL_10sec
+7.925e-02,bio_06_30sec*tri_10sec
-7.891e-02,bio_19_30sec*urban_gf
+7.857e-02,bio_03_30sec*PHIHOX_10sec
-7.818e-02,night_lights_10sec*tri_10sec
-7.529e-02,bdod_10sec*bio_05_30sec
-7.526e-02,AWCh2_10sec*phh2o_10sec
-7.102e-02,bdod_10sec*wind_speed_10sec
+6.818e-02,ocs_10sec*wind_speed_10sec
+6.755e-02,tri_10sec*wind_speed_10sec
-6.572e-02,bio_16_30sec*cropland_gf
-6.390e-02,bio_02_30sec*CLYPPT_10sec
-6.377e-02,AWCh1_10sec*bdod_10sec
+6.279e-02,bio_02_30sec*slope_10sec
-6.276e-02,bdod_10sec*bio_02_30sec
+6.132e-02,PHIKCL_10sec^2
-6.118e-02,bio_08_30sec*phh2o_10sec
+6.102e-02,AWCtS_10sec*bio_05_30sec
-5.912e-02,silt_10sec*cropland_gf
-5.902e-02,bio_17_30sec*cropland_gf
+5.866e-02,bio_18_30sec*cropland_gf
-5.602e-02,bio_18_30sec*urban_gf
+5.596e-02,silt_10sec*forest_gf
+5.550e-02,bio_10_30sec*PHIKCL_10sec
-5.531e-02,nitrogen_10sec*urban_gf
-5.294e-02,AWCtS_10sec*bio_15_30sec
+5.036e-02,AWCtS_10sec*bdod_10sec
-4.830e-02,bio_08_30sec*night_lights_5min
-4.582e-02,hillshade_10sec*urban_gf
+4.443e-02,BLDFIE_10sec*forest_gf
-4.180e-02,AWCh1_10sec*bio_03_30sec
-4.089e-02,bio_03_30sec*bio_15_30sec
+3.923e-02,bio_14_30sec*wind_speed_10sec
-3.877e-02,AWCtS_10sec*bio_14_30sec
+3.817e-02,bio_15_30sec*PHIKCL_10sec
-3.762e-02,soc_10sec*forest_gf
+3.721e-02,bio_09_30sec*ocs_10sec
+3.555e-02,bio_11_30sec*bio_15_30sec
-3.507e-02,livestock_Ho_2010_5min*urban_gf
-3.469e-02,bio_17_30sec*forest_gf
+3.465e-02,bio_06_30sec*bio_14_30sec
+3.452e-02,AWCh3_10sec*tri_10sec
+3.397e-02,accessibility_to_cities_2015_30sec
-3.390e-02,bio_14_30sec*forest_gf
-3.364e-02,tri_10sec^2
+3.342e-02,bio_03_30sec*CLYPPT_10sec
+3.314e-02,BDRICM_10sec*urban_gf
+3.278e-02,bio_02_30sec*PHIHOX_10sec
+3.082e-02,AWCtS_10sec*phh2o_10sec
-3.081e-02,bio_09_30sec*wind_speed_10sec
-3.038e-02,AWCh3_10sec*bio_08_30sec
+3.035e-02,bio_18_30sec*forest_gf
+3.001e-02,clay_10sec*forest_gf
+2.925e-02,AWCh3_10sec*bio_07_30sec
-2.907e-02,AWCh1_10sec*ocs_10sec
+2.849e-02,AWCtS_10sec*bio_11_30sec
-2.801e-02,bio_09_30sec*night_lights_10sec
-2.772e-02,ndvcec015_10sec*forest_gf
-2.761e-02,bio_09_30sec*phh2o_10sec
-2.715e-02,night_lights_10sec*ocs_10sec
-2.674e-02,bio_09_30sec*slope_10sec
-2.607e-02,soc_10sec*urban_gf
-2.456e-02,bio_11_30sec*CLYPPT_10sec
+2.438e-02,clay_10sec*cropland_gf
+2.353e-02,bio_14_30sec*PHIKCL_10sec
+2.288e-02,bio_01_30sec^2
+2.262e-02,AWCh2_10sec*tri_10sec
-2.227e-02,OCSTHA_10sec*forest_gf
+2.201e-02,bio_05_30sec*bio_09_30sec
+2.086e-02,accessibility_to_cities_2015_30sec*urban_gf
+2.081e-02,nitrogen_10sec*cropland_gf
-2.081e-02,bio_08_30sec*slope_10sec
+2.054e-02,bio_02_30sec*bio_17_30sec
-2.050e-02,bio_02_30sec*ocs_10sec
+2.002e-02,bdod_10sec*PHIHOX_10sec
+1.989e-02,bio_14_30sec*PHIHOX_10sec
-1.985e-02,CLYPPT_10sec*urban_gf
-1.949e-02,CLYPPT_10sec*tri_10sec
-1.890e-02,bio_13_30sec*wind_speed_10sec
+1.866e-02,night_lights_10sec*night_lights_5min
+1.852e-02,accessibility_to_cities_2015_30sec*forest_gf
+1.835e-02,livestock_Bf_2010_5min*urban_gf
+1.823e-02,hillshade_10sec*cropland_gf
-1.810e-02,AWCh3_10sec*night_lights_10sec
-1.800e-02,ocs_10sec*phh2o_10sec
-1.771e-02,bio_02_30sec*bio_04_30sec
-1.757e-02,bdod_10sec*PHIKCL_10sec
-1.719e-02,bio_02_30sec*clay_10sec
-1.691e-02,soc_10sec*cropland_gf
+1.631e-02,slope_10sec^2
+1.604e-02,AWCh1_10sec*bio_15_30sec
-1.595e-02,CLYPPT_10sec*PHIKCL_10sec
-1.572e-02,bio_02_30sec*bio_13_30sec
+1.533e-02,bio_09_30sec*bio_14_30sec
+1.521e-02,bio_10_30sec*PHIHOX_10sec
+1.436e-02,bio_02_30sec*silt_10sec
-1.426e-02,AWCh3_10sec*phh2o_10sec
+1.402e-02,silt_10sec*wind_speed_10sec
-1.391e-02,AWCh3_10sec*PHIKCL_10sec
+1.377e-02,phh2o_10sec*PHIHOX_10sec
+1.368e-02,bio_16_30sec*wind_speed_10sec
+1.365e-02,bio_19_30sec*cropland_gf
+1.362e-02,livestock_Bf_2010_5min*forest_gf
-1.339e-02,bio_07_30sec*slope_10sec
-1.320e-02,BDRICM_10sec
+1.302e-02,CLYPPT_10sec*slope_10sec
+1.272e-02,bio_07_30sec*clay_10sec
-1.249e-02,bio_14_30sec*tri_10sec
-1.246e-02,bio_06_30sec*ndvcec015_10sec
-1.223e-02,bio_03_30sec*slope_10sec
+1.217e-02,livestock_Ho_2010_5min*cropland_gf
-1.200e-02,altitude_10sec*forest_gf
+1.197e-02,altitude_10sec*urban_gf
-1.183e-02,ndvcec015_10sec*wind_speed_10sec
+1.155e-02,bdod_10sec*ocs_10sec
-1.138e-02,bio_09_30sec*night_lights_5min
+1.117e-02,bio_15_30sec*ocs_10sec
+1.110e-02,livestock_Ct_2010_5min*urban_gf
-1.099e-02,livestock_Ho_2010_5min*forest_gf
-1.015e-02,cfvo_10sec*forest_gf
+9.943e-03,bio_02_30sec*bio_18_30sec
-9.888e-03,bio_08_30sec*ocs_10sec
-9.772e-03,clay_10sec*PHIKCL_10sec
-9.691e-03,bio_04_30sec*wind_speed_10sec
-9.636e-03,bio_15_30sec*phh2o_10sec
-8.922e-03,cfvo_10sec*cropland_gf
+8.912e-03,nitrogen_10sec*forest_gf
-8.840e-03,AWCh3_10sec*bio_09_30sec
+8.641e-03,bio_12_30sec
+8.420e-03,bio_01_30sec*bio_18_30sec
-8.267e-03,bio_04_30sec*bio_09_30sec
-8.267e-03,bio_04_30sec*bio_10_30sec
+7.980e-03,AWCh3_10sec*BLDFIE_10sec
+7.442e-03,accessibility_to_cities_2015_30sec*cropland_gf
+7.427e-03,bio_01_30sec*PHIKCL_10sec
+7.386e-03,ndvcec015_10sec*PHIKCL_10sec
+7.368e-03,bio_10_30sec*sand_10sec
-7.316e-03,bio_10_30sec*bio_16_30sec
+7.315e-03,bio_04_30sec*bio_06_30sec
+7.183e-03,bio_04_30sec*phh2o_10sec
+7.043e-03,bio_06_30sec*silt_10sec
+7.034e-03,bio_02_30sec*OCDENS_10sec
+6.837e-03,OCDENS_10sec*forest_gf
-6.773e-03,bio_07_30sec*bio_18_30sec
-6.459e-03,bio_03_30sec*ndvcec015_10sec
-6.392e-03,bio_14_30sec*bio_15_30sec
-6.305e-03,bio_14_30sec*night_lights_10sec
+6.284e-03,bio_09_30sec*ndvcec015_10sec
+6.188e-03,bio_14_30sec*night_lights_5min
-6.186e-03,bio_08_30sec*bio_18_30sec
-6.174e-03,bio_02_30sec*ocd_10sec
+6.072e-03,bio_04_30sec*cropland_gf
+6.037e-03,OCDENS_10sec*cropland_gf
+5.986e-03,CLYPPT_10sec*night_lights_10sec
+5.964e-03,bio_15_30sec*forest_gf
-5.788e-03,AWCtS_10sec*ndvcec015_10sec
+5.733e-03,bio_05_30sec*bio_14_30sec
-5.509e-03,BDRICM_10sec*forest_gf
-5.399e-03,hillshade_10sec*wind_speed_10sec
-5.364e-03,ndvcec015_10sec*phh2o_10sec
-5.359e-03,OCSTHA_10sec*cropland_gf
-5.290e-03,bio_02_30sec*hillshade_10sec
+5.219e-03,livestock_Bf_2010_5min*cropland_gf
-5.179e-03,bio_03_30sec*tri_10sec
-5.171e-03,bio_03_30sec*silt_10sec
+5.141e-03,bio_02_30sec*livestock_Ho_2010_5min
-5.137e-03,BLDFIE_10sec*PHIHOX_10sec
+5.014e-03,OCSTHA_10sec*PHIKCL_10sec
+4.950e-03,bio_09_30sec*OCSTHA_10sec
-4.913e-03,bio_15_30sec*CLYPPT_10sec
+4.880e-03,altitude_10sec
+4.859e-03,ACDWRB_10sec*urban_gf
+4.832e-03,ocd_10sec*phh2o_10sec
+4.731e-03,CRFVOL_10sec*urban_gf
+4.723e-03,nitrogen_10sec*wind_speed_10sec
+4.716e-03,bdod_10sec*CLYPPT_10sec
+4.713e-03,PHIHOX_10sec^2
+4.666e-03,bio_14_30sec*slope_10sec
-4.619e-03,bio_13_30sec*phh2o_10sec
+4.563e-03,bio_09_30sec*bio_18_30sec
+4.526e-03,altitude_10sec*wind_speed_10sec
+4.441e-03,BLDFIE_10sec*wind_speed_10sec
+4.319e-03,bio_02_30sec*ndvcec015_10sec
+4.280e-03,ocd_10sec*cropland_gf
-4.103e-03,CLYPPT_10sec*silt_10sec
+4.061e-03,bio_18_30sec*phh2o_10sec
+4.022e-03,night_lights_5min*ocs_10sec
+4.006e-03,bio_15_30sec*night_lights_5min
-3.947e-03,bio_14_30sec*CLYPPT_10sec
+3.917e-03,silt_10sec*tri_10sec
-3.850e-03,nitrogen_10sec*PHIHOX_10sec
-3.822e-03,bio_03_30sec*bio_17_30sec
-3.746e-03,bio_18_30sec*wind_speed_10sec
-3.689e-03,HISTPR_10sec*urban_gf
+3.688e-03,bio_03_30sec*night_lights_5min
+3.610e-03,hillshade_10sec*night_lights_5min
-3.544e-03,BDRLOG_10sec*urban_gf
+3.516e-03,bdod_10sec*night_lights_10sec
-3.489e-03,OCSTHA_10sec*phh2o_10sec
-3.450e-03,soc_10sec*wind_speed_10sec
-3.444e-03,clay_10sec*night_lights_5min
-3.312e-03,livestock_Ct_2010_5min*cropland_gf
-3.280e-03,bio_09_30sec*bio_16_30sec
-3.216e-03,accessibility_to_cities_2015_30sec*bio_11_30sec
+3.152e-03,bio_04_30sec*PHIHOX_10sec
-3.148e-03,bio_07_30sec*sand_10sec
-3.116e-03,bio_16_30sec*forest_gf
-3.107e-03,ACDWRB_10sec*forest_gf
-3.060e-03,bdod_10sec*slope_10sec
-2.949e-03,accessibility_to_cities_2015_30sec*night_lights_5min
-2.948e-03,bio_08_30sec*livestock_Ho_2010_5min
+2.903e-03,AWCtS_10sec*bio_03_30sec
-2.870e-03,bio_15_30sec^2
+2.858e-03,hillshade_10sec*night_lights_10sec
+2.857e-03,bio_07_30sec*bio_16_30sec
-2.816e-03,ocd_10sec*PHIKCL_10sec
+2.811e-03,night_lights_5min*silt_10sec
-2.803e-03,phh2o_10sec*silt_10sec
-2.790e-03,bio_03_30sec*OCSTHA_10sec
+2.786e-03,bio_19_30sec*forest_gf
-2.602e-03,night_lights_5min^2
-2.503e-03,livestock_Ct_2010_5min*forest_gf
+2.458e-03,bio_18_30sec*night_lights_5min
+2.439e-03,bdod_10sec*bio_14_30sec
-2.426e-03,AWCh2_10sec*bio_19_30sec
+2.417e-03,bdod_10sec*clay_10sec
-2.405e-03,bio_02_30sec*cfvo_10sec
+2.354e-03,bio_09_30sec*clay_10sec
+2.345e-03,night_lights_5min*ocd_10sec
+2.334e-03,AWCtS_10sec*nitrogen_10sec
-2.322e-03,AWCh1_10sec*clay_10sec
-2.306e-03,AWCtS_10sec*bio_17_30sec
-2.257e-03,cfvo_10sec*wind_speed_10sec
-2.232e-03,BLDFIE_10sec*PHIKCL_10sec
+2.231e-03,bio_15_30sec*bio_17_30sec
-2.220e-03,AWCh1_10sec*BLDFIE_10sec
-2.184e-03,ACDWRB_10sec*cropland_gf
-2.136e-03,bio_09_30sec*bio_19_30sec
-2.084e-03,AWCh3_10sec*cfvo_10sec
-2.066e-03,OCSTHA_10sec*wind_speed_10sec
+2.044e-03,AWCh3_10sec*bio_12_30sec
+2.039e-03,cfvo_10sec*urban_gf
-1.984e-03,bio_18_30sec*PHIKCL_10sec
